"","alltrial","id","age","condition","agent","altAgent","leftObject","rightObject","pick","target","trial","change","rt","correct"
"164","4","180502_2_pref","3","preference","Tiger","Pig","t2","t17","t17","right","2","false",14347,1
"165","5","180502_2_pref","3","preference","Cat","Pig","t7","t8","t7","left","3","true",14047,1
"166","6","180502_2_pref","3","preference","Sheep","Mouse","t3","t14","t14","right","4","false",13342,1
"167","7","180502_2_pref","3","preference","Beaver","Mouse","t12","t11","t12","left","5","false",13266,1
"168","8","180502_2_pref","3","preference","Elephant","Mouse","t5","t4","t4","right","6","true",16378,1
"169","9","180502_2_pref","3","preference","Monkey","Bear","t15","t10","t10","left","7","true",12864,0
"170","10","180502_2_pref","3","preference","Frog",NA,"t6","t9","t9","right","8","false",13591,1
"171","1","180503_1_pref","3","preference","Elephant","Monkey","car","bear","car","left","train","false",12891,1
"172","2","180503_1_pref","3","preference","Pig","Monkey","duck","ball","ball","right","train","false",10017,1
"173","3","180503_1_pref","3","preference","Sheep","Monkey","t7","t5","t5","right","1","false",13917,1
"174","4","180503_1_pref","3","preference","Tiger","Monkey","t4","t9","t9","left","2","true",15997,0
"175","5","180503_1_pref","3","preference","Mouse","Pig","t3","t16","t3","left","3","false",15865,1
"176","6","180503_1_pref","3","preference","Beaver","Pig","t11","t15","t15","left","4","true",14083,0
"177","7","180503_1_pref","3","preference","Elephant","Dog","t8","t10","t10","right","5","false",15296,1
"178","8","180503_1_pref","3","preference","Cat","Dog","t2","t14","t2","right","6","true",17662,0
"179","9","180503_1_pref","3","preference","Frog","Bunny","t1","t17","t1","left","7","true",16429,1
"180","10","180503_1_pref","3","preference","Bear",NA,"t6","t12","t12","right","8","false",12796,1
"181","1","180503_3_pref","4","preference","Elephant","Elephant","car","bear","car","left","train","false",11313,1
"182","2","180503_3_pref","4","preference","Pig","Elephant","duck","ball","ball","right","train","false",11081,1
"183","3","180503_3_pref","4","preference","Sheep","Elephant","t12","t15","t15","left","1","false",12745,0
"184","4","180503_3_pref","4","preference","Dog","Elephant","t14","t6","t14","right","2","true",13152,0
"185","5","180503_3_pref","4","preference","Bunny","Pig","t2","t8","t8","left","3","false",18351,0
"186","6","180503_3_pref","4","preference","Tiger","Pig","t11","t3","t11","right","4","true",13403,0
"187","7","180503_3_pref","4","preference","Cat","Frog","t9","t5","t5","left","5","true",14051,0
"188","8","180503_3_pref","4","preference","Bear","Beaver","t16","t4","t4","left","6","false",12712,0
"189","9","180503_3_pref","4","preference","Mouse","Beaver","t17","t10","t17","right","7","false",17318,0
