experiment,id,trial,common_ground_manipulation,prior_manipulation,speaker,alignment,agent,correct_inf
adult_ex4,868460ed5f299ef3e468a27c4db1f1c7,2,novelty,strong,same_speaker,incongruent,Monkey,0
adult_ex4,868460ed5f299ef3e468a27c4db1f1c7,3,novelty,strong,same_speaker,congruent,Sheep,1
adult_ex4,868460ed5f299ef3e468a27c4db1f1c7,4,novelty,strong,same_speaker,congruent,Cat,1
adult_ex4,868460ed5f299ef3e468a27c4db1f1c7,5,novelty,strong,different_speaker,incongruent,Frog,0
adult_ex4,868460ed5f299ef3e468a27c4db1f1c7,6,novelty,strong,different_speaker,incongruent,Elephant,0
adult_ex4,868460ed5f299ef3e468a27c4db1f1c7,7,novelty,strong,different_speaker,congruent,Bear,1
adult_ex4,868460ed5f299ef3e468a27c4db1f1c7,8,novelty,strong,different_speaker,congruent,Mouse,1
adult_ex4,8813e506ec472b47588442b4dc410521,1,novelty,strong,different_speaker,congruent,Mouse,1
adult_ex4,8813e506ec472b47588442b4dc410521,2,novelty,strong,different_speaker,incongruent,Pig,1
adult_ex4,8813e506ec472b47588442b4dc410521,3,novelty,strong,same_speaker,incongruent,Sheep,0
adult_ex4,8813e506ec472b47588442b4dc410521,4,novelty,strong,same_speaker,incongruent,Bunny,0
adult_ex4,8813e506ec472b47588442b4dc410521,5,novelty,strong,different_speaker,congruent,Beaver,0
adult_ex4,8813e506ec472b47588442b4dc410521,6,novelty,strong,same_speaker,congruent,Elephant,0
adult_ex4,8813e506ec472b47588442b4dc410521,7,novelty,strong,different_speaker,incongruent,Cat,1
adult_ex4,8813e506ec472b47588442b4dc410521,8,novelty,strong,same_speaker,congruent,Monkey,0
adult_ex4,8a945d2ac06cb541b054c3457fc79051,1,novelty,strong,different_speaker,incongruent,Cat,1
