"","alltrial","subid","age","condition","agent","leftObject","rightObject","targetOnTable","pick","target","trial","control","rt","correct","targetObj","age_num"
"31","1","180722_1_inf","3","informativeness","Elephant","car","bear","inner","car","left","train","false",10785,1,"car",3.81095890410959
"32","2","180722_1_inf","3","informativeness","Pig","duck","ball","outer","ball","right","train","false",9606,1,"ball",3.81095890410959
"33","3","180722_1_inf","3","informativeness","Bunny","t17","t6","inner","t6","right","1","true",12428,1,"t6",3.81095890410959
"34","4","180722_1_inf","3","informativeness","Elephant","t12","t7","inner","t7","right","2","false",10894,1,"t7",3.81095890410959
"35","5","180722_1_inf","3","informativeness","Tiger","t5","t9","outer","t9","right","3","false",11308,1,"t9",3.81095890410959
"36","6","180722_1_inf","3","informativeness","Pig","t8","t1","inner","t8","left","4","true",9213,1,"t8",3.81095890410959
"37","7","180722_1_inf","3","informativeness","Cat","t16","t2","inner","t16","left","5","true",8478,1,"t16",3.81095890410959
"38","8","180722_1_inf","3","informativeness","Bear","t4","t14","outer","t14","right","6","false",10621,1,"t14",3.81095890410959
"39","9","180722_1_inf","3","informativeness","Beaver","t11","t3","outer","t3","left","7","true",10511,0,"t11",3.81095890410959
"40","10","180722_1_inf","3","informativeness","Mouse","t15","t10","outer","t10","left","8","false",14328,0,"t15",3.81095890410959
"41","1","180722_3_inf","3","informativeness","Elephant","car","bear","inner","car","left","train","false",13877,1,"car",3.49315068493151
"42","2","180722_3_inf","3","informativeness","Pig","duck","ball","outer","ball","right","train","false",10945,1,"ball",3.49315068493151
"43","3","180722_3_inf","3","informativeness","Beaver","t12","t4","inner","t12","left","1","false",10483,1,"t12",3.49315068493151
"44","4","180722_3_inf","3","informativeness","Tiger","t1","t6","outer","t6","left","2","true",14402,0,"t1",3.49315068493151
"45","5","180722_3_inf","3","informativeness","Frog","t8","t3","inner","t8","left","3","false",9312,1,"t8",3.49315068493151
"46","6","180722_3_inf","3","informativeness","Bear","t2","t9","inner","t9","right","4","true",8228,1,"t9",3.49315068493151
"47","7","180722_3_inf","3","informativeness","Bunny","t10","t17","inner","t17","right","5","false",11598,1,"t17",3.49315068493151
"48","8","180722_3_inf","3","informativeness","Pig","t14","t7","outer","t14","right","6","true",8722,0,"t7",3.49315068493151
