experiment,id,trial,common_ground_manipulation,prior_manipulation,speaker,agent,correct
adult_ex4_prior,a58ab0a1c1563560e721df4cc9248b33,6,novelty,strong,same_speaker,NA,1
adult_ex4_prior,afd0315c5d24a5d821f7208f44b61b82,1,novelty,strong,different_speaker,Bunny,0
adult_ex4_prior,afd0315c5d24a5d821f7208f44b61b82,2,novelty,strong,same_speaker,Dog,1
adult_ex4_prior,afd0315c5d24a5d821f7208f44b61b82,3,novelty,strong,different_speaker,Dog,1
adult_ex4_prior,afd0315c5d24a5d821f7208f44b61b82,4,novelty,strong,same_speaker,Sheep,1
adult_ex4_prior,afd0315c5d24a5d821f7208f44b61b82,5,novelty,strong,different_speaker,Sheep,1
adult_ex4_prior,afd0315c5d24a5d821f7208f44b61b82,6,novelty,strong,same_speaker,NA,1
adult_ex4_prior,b7a0932733fbfb48ec5d83af736c7728,1,novelty,strong,same_speaker,Bunny,1
adult_ex4_prior,b7a0932733fbfb48ec5d83af736c7728,2,novelty,strong,different_speaker,Bunny,0
adult_ex4_prior,b7a0932733fbfb48ec5d83af736c7728,3,novelty,strong,same_speaker,Monkey,0
adult_ex4_prior,b7a0932733fbfb48ec5d83af736c7728,4,novelty,strong,different_speaker,Monkey,0
adult_ex4_prior,b7a0932733fbfb48ec5d83af736c7728,5,novelty,strong,different_speaker,Bear,0
adult_ex4_prior,b7a0932733fbfb48ec5d83af736c7728,6,novelty,strong,same_speaker,NA,1
adult_ex4_prior,bca67603db675dfdff34f0ca9d6ceb42,1,novelty,strong,same_speaker,Bunny,1
adult_ex4_prior,bca67603db675dfdff34f0ca9d6ceb42,2,novelty,strong,different_speaker,Bunny,1
adult_ex4_prior,bca67603db675dfdff34f0ca9d6ceb42,3,novelty,strong,different_speaker,Frog,1
adult_ex4_prior,bca67603db675dfdff34f0ca9d6ceb42,4,novelty,strong,same_speaker,Monkey,1
adult_ex4_prior,bca67603db675dfdff34f0ca9d6ceb42,5,novelty,strong,different_speaker,Monkey,1
adult_ex4_prior,bca67603db675dfdff34f0ca9d6ceb42,6,novelty,strong,same_speaker,NA,1
adult_ex4_prior,c68808e9473a99f3320a5690255c503c,1,novelty,strong,same_speaker,Frog,1
adult_ex4_prior,c68808e9473a99f3320a5690255c503c,2,novelty,strong,different_speaker,Frog,0
adult_ex4_prior,c68808e9473a99f3320a5690255c503c,3,novelty,strong,different_speaker,Monkey,0
adult_ex4_prior,c68808e9473a99f3320a5690255c503c,4,novelty,strong,same_speaker,Bunny,1
adult_ex4_prior,c68808e9473a99f3320a5690255c503c,5,novelty,strong,same_speaker,Bunny,1
adult_ex4_prior,c68808e9473a99f3320a5690255c503c,6,novelty,strong,different_speaker,Bunny,0
adult_ex4_prior,ca1ef3217ea4c27d2ad3f0a1b71ac81d,1,novelty,strong,different_speaker,Bunny,1
adult_ex4_prior,ca1ef3217ea4c27d2ad3f0a1b71ac81d,2,novelty,strong,same_speaker,Sheep,0
adult_ex4_prior,ca1ef3217ea4c27d2ad3f0a1b71ac81d,3,novelty,strong,same_speaker,Sheep,0
adult_ex4_prior,ca1ef3217ea4c27d2ad3f0a1b71ac81d,4,novelty,strong,different_speaker,Sheep,1
adult_ex4_prior,ca1ef3217ea4c27d2ad3f0a1b71ac81d,5,novelty,strong,same_speaker,Frog,0
adult_ex4_prior,ca1ef3217ea4c27d2ad3f0a1b71ac81d,6,novelty,strong,different_speaker,Frog,1
adult_ex4_prior,cb68b4b7088a42be885d9ebc13bf9ac6,1,novelty,strong,different_speaker,Monkey,1
adult_ex4_prior,cb68b4b7088a42be885d9ebc13bf9ac6,2,novelty,strong,same_speaker,Frog,1
adult_ex4_prior,cb68b4b7088a42be885d9ebc13bf9ac6,3,novelty,strong,different_speaker,Frog,0
adult_ex4_prior,cb68b4b7088a42be885d9ebc13bf9ac6,4,novelty,strong,same_speaker,Bear,1
adult_ex4_prior,cb68b4b7088a42be885d9ebc13bf9ac6,5,novelty,strong,same_speaker,Bear,1
adult_ex4_prior,cb68b4b7088a42be885d9ebc13bf9ac6,6,novelty,strong,different_speaker,Bear,1
adult_ex4_prior,cc138593b09a998ba56d957199360f7c,1,novelty,strong,same_speaker,Monkey,1
adult_ex4_prior,cc138593b09a998ba56d957199360f7c,2,novelty,strong,different_speaker,Monkey,1
adult_ex4_prior,cc138593b09a998ba56d957199360f7c,3,novelty,strong,different_speaker,Sheep,1
adult_ex4_prior,cc138593b09a998ba56d957199360f7c,4,novelty,strong,same_speaker,Frog,1
adult_ex4_prior,cc138593b09a998ba56d957199360f7c,5,novelty,strong,different_speaker,Frog,1
adult_ex4_prior,cc138593b09a998ba56d957199360f7c,6,novelty,strong,same_speaker,NA,1
adult_ex4_prior,d212b10824166f19a7e8afe2073211fc,1,novelty,strong,same_speaker,Monkey,1
adult_ex4_prior,d212b10824166f19a7e8afe2073211fc,2,novelty,strong,different_speaker,Monkey,0
adult_ex4_prior,d212b10824166f19a7e8afe2073211fc,3,novelty,strong,same_speaker,Bunny,1
adult_ex4_prior,d212b10824166f19a7e8afe2073211fc,4,novelty,strong,different_speaker,Bunny,1
adult_ex4_prior,d212b10824166f19a7e8afe2073211fc,5,novelty,strong,same_speaker,Bear,1
adult_ex4_prior,d212b10824166f19a7e8afe2073211fc,6,novelty,strong,different_speaker,Bear,1
adult_ex4_prior,d48d41daef7867148f39761302f631b5,1,novelty,strong,same_speaker,Frog,1
adult_ex4_prior,d48d41daef7867148f39761302f631b5,2,novelty,strong,different_speaker,Frog,1
adult_ex4_prior,d48d41daef7867148f39761302f631b5,3,novelty,strong,different_speaker,Cat,0
adult_ex4_prior,d48d41daef7867148f39761302f631b5,4,novelty,strong,same_speaker,Bunny,1
adult_ex4_prior,d48d41daef7867148f39761302f631b5,5,novelty,strong,different_speaker,Bunny,0
adult_ex4_prior,d48d41daef7867148f39761302f631b5,6,novelty,strong,same_speaker,NA,1
adult_ex4_prior,e70bf01872143f90d66459e7b13f07ce,1,novelty,strong,different_speaker,Monkey,1
