alltrial,subid,age,condition,agent,altAgent,leftObject,rightObject,pick,target,trial,change,rt,correct,targetObj,age_num,X,trial_type
9,180723_1_pref,2,preference,Frog,Dog,t7,t8,t7,left,7,false,13992,1,t7,2,NA,test
10,180723_1_pref,2,preference,Beaver,Dog,t9,t14,t14,right,8,true,13178,1,t14,2,NA,test
1,180723_8_pref,2,preference,Elephant,Mouse,car,bear,car,left,train,false,18946,1,car,2.38630136986301,NA,train
2,180723_8_pref,2,preference,Pig,Mouse,duck,ball,ball,right,train,false,8205,1,ball,2.38630136986301,NA,train
3,180723_8_pref,2,preference,Pig,Mouse,t14,t5,t14,left,1,true,31813,1,t14,2.38630136986301,NA,test
4,180723_8_pref,2,preference,Monkey,Beaver,t10,t17,t10,left,2,false,15851,1,t10,2.38630136986301,NA,test
5,180723_8_pref,2,preference,Tiger,Beaver,t6,t16,t16,right,3,true,19569,1,t16,2.38630136986301,NA,test
6,180723_8_pref,2,preference,Frog,Bear,t15,t1,t1,right,4,false,11176,1,t1,2.38630136986301,NA,test
7,180723_8_pref,2,preference,Sheep,Bear,t8,t2,t2,right,5,false,10397,1,t2,2.38630136986301,NA,test
8,180723_8_pref,2,preference,Bunny,Bear,t4,t11,t11,left,6,true,30830,0,t4,2.38630136986301,NA,test
9,180723_8_pref,2,preference,Cat,Dog,t9,t3,t9,right,7,true,15202,0,t3,2.38630136986301,NA,test
10,180723_8_pref,2,preference,Elephant,NA,t7,t12,t7,left,8,false,9360,1,t7,2.38630136986301,NA,test
1,180723_9_pref,2,preference,Elephant,Elephant,car,bear,car,left,train,false,12148,1,car,2.23013698630137,NA,train
2,180723_9_pref,2,preference,Pig,Elephant,duck,ball,ball,right,train,false,18452,1,ball,2.23013698630137,NA,train
3,180723_9_pref,2,preference,Monkey,Elephant,t9,t11,t11,right,1,false,17709,1,t11,2.23013698630137,NA,test
4,180723_9_pref,2,preference,Sheep,Elephant,t16,t2,t2,right,2,true,16606,1,t2,2.23013698630137,NA,test
5,180723_9_pref,2,preference,Beaver,Dog,t12,t14,t14,left,3,true,14155,0,t12,2.23013698630137,NA,test
6,180723_9_pref,2,preference,Pig,Bear,t15,t3,t3,left,4,false,13920,0,t15,2.23013698630137,NA,test
7,180723_9_pref,2,preference,Cat,Bear,t17,t8,t8,left,5,true,12056,0,t17,2.23013698630137,NA,test
8,180723_9_pref,2,preference,Tiger,Mouse,t4,t7,t7,right,6,false,14542,1,t7,2.23013698630137,NA,test
9,180723_9_pref,2,preference,Frog,Mouse,t1,t5,t5,right,7,false,15907,1,t5,2.23013698630137,NA,test
10,180723_9_pref,2,preference,Bunny,Mouse,t6,t10,t10,left,8,true,15191,0,t6,2.23013698630137,NA,test
1,190718_1_pref,2,preference,Elephant,Monkey,car,bear,car,left,train,false,8874,1,car,2.2027397260274,NA,train
2,190718_1_pref,2,preference,Pig,Monkey,duck,ball,ball,right,train,false,10508,1,ball,2.2027397260274,NA,train
3,190718_1_pref,2,preference,Tiger,Monkey,t14,t17,t17,right,1,true,11487,1,t17,2.2027397260274,NA,test
