experiment,id,trial,common_ground_manipulation,speaker,alignment,agent,correct_inf
adult_ex3,6b247beb16f9508829df428b712447be,3,novelty,different_speaker,congruent,Pig,1
adult_ex3,6b247beb16f9508829df428b712447be,4,novelty,same_speaker,congruent,Mouse,1
adult_ex3,6b247beb16f9508829df428b712447be,5,novelty,same_speaker,incongruent,Cat,0
adult_ex3,6b247beb16f9508829df428b712447be,6,novelty,same_speaker,incongruent,Sheep,0
adult_ex3,6b247beb16f9508829df428b712447be,7,novelty,different_speaker,incongruent,Bunny,1
adult_ex3,6b247beb16f9508829df428b712447be,8,novelty,different_speaker,incongruent,Elephant,1
adult_ex3,6de3a557d869827447b8f39348974800,1,novelty,same_speaker,congruent,Pig,1
adult_ex3,6de3a557d869827447b8f39348974800,2,novelty,same_speaker,incongruent,Elephant,1
adult_ex3,6de3a557d869827447b8f39348974800,3,novelty,same_speaker,congruent,Mouse,0
adult_ex3,6de3a557d869827447b8f39348974800,4,novelty,different_speaker,incongruent,Bear,0
adult_ex3,6de3a557d869827447b8f39348974800,5,novelty,different_speaker,congruent,Beaver,1
adult_ex3,6de3a557d869827447b8f39348974800,6,novelty,different_speaker,congruent,Sheep,1
adult_ex3,6de3a557d869827447b8f39348974800,7,novelty,same_speaker,incongruent,Dog,0
adult_ex3,6de3a557d869827447b8f39348974800,8,novelty,different_speaker,incongruent,Cat,0
adult_ex3,6f4eb54ed4b1e177ed99dff2779c50bb,1,novelty,different_speaker,incongruent,Sheep,1
adult_ex3,6f4eb54ed4b1e177ed99dff2779c50bb,2,novelty,same_speaker,congruent,Mouse,1
adult_ex3,6f4eb54ed4b1e177ed99dff2779c50bb,3,novelty,same_speaker,congruent,Pig,1
adult_ex3,6f4eb54ed4b1e177ed99dff2779c50bb,4,novelty,same_speaker,incongruent,Elephant,1
adult_ex3,6f4eb54ed4b1e177ed99dff2779c50bb,5,novelty,different_speaker,congruent,Frog,1
adult_ex3,6f4eb54ed4b1e177ed99dff2779c50bb,6,novelty,different_speaker,incongruent,Beaver,1
adult_ex3,6f4eb54ed4b1e177ed99dff2779c50bb,7,novelty,same_speaker,incongruent,Bear,1
adult_ex3,6f4eb54ed4b1e177ed99dff2779c50bb,8,novelty,different_speaker,congruent,Monkey,1
adult_ex3,70160d4752a7966420892193ea9caec1,1,novelty,different_speaker,incongruent,Sheep,1
adult_ex3,70160d4752a7966420892193ea9caec1,2,novelty,different_speaker,incongruent,Frog,0
adult_ex3,70160d4752a7966420892193ea9caec1,3,novelty,different_speaker,congruent,Cat,1
adult_ex3,70160d4752a7966420892193ea9caec1,4,novelty,same_speaker,incongruent,Monkey,0
adult_ex3,70160d4752a7966420892193ea9caec1,5,novelty,same_speaker,congruent,Mouse,0
adult_ex3,70160d4752a7966420892193ea9caec1,6,novelty,different_speaker,congruent,Beaver,0
adult_ex3,70160d4752a7966420892193ea9caec1,7,novelty,same_speaker,congruent,Pig,0
adult_ex3,70160d4752a7966420892193ea9caec1,8,novelty,same_speaker,incongruent,Dog,1
adult_ex3,77429d4ef7ab10750f06b2d1ba9bb246,1,novelty,same_speaker,congruent,Sheep,1
adult_ex3,77429d4ef7ab10750f06b2d1ba9bb246,2,novelty,different_speaker,incongruent,Bunny,1
adult_ex3,77429d4ef7ab10750f06b2d1ba9bb246,3,novelty,same_speaker,incongruent,Frog,1
adult_ex3,77429d4ef7ab10750f06b2d1ba9bb246,4,novelty,same_speaker,congruent,Mouse,1
adult_ex3,77429d4ef7ab10750f06b2d1ba9bb246,5,novelty,different_speaker,congruent,Beaver,1
adult_ex3,77429d4ef7ab10750f06b2d1ba9bb246,6,novelty,different_speaker,incongruent,Elephant,0
adult_ex3,77429d4ef7ab10750f06b2d1ba9bb246,7,novelty,different_speaker,congruent,Monkey,1
adult_ex3,77429d4ef7ab10750f06b2d1ba9bb246,8,novelty,same_speaker,incongruent,Cat,1
adult_ex3,7dae53ab38f25ac94cecc0aae160100b,1,novelty,different_speaker,incongruent,Elephant,1
adult_ex3,7dae53ab38f25ac94cecc0aae160100b,2,novelty,same_speaker,incongruent,Pig,1
adult_ex3,7dae53ab38f25ac94cecc0aae160100b,3,novelty,same_speaker,congruent,Beaver,1
adult_ex3,7dae53ab38f25ac94cecc0aae160100b,4,novelty,same_speaker,incongruent,Bunny,1
adult_ex3,7dae53ab38f25ac94cecc0aae160100b,5,novelty,different_speaker,congruent,Frog,1
adult_ex3,7dae53ab38f25ac94cecc0aae160100b,6,novelty,same_speaker,congruent,Monkey,1
adult_ex3,7dae53ab38f25ac94cecc0aae160100b,7,novelty,different_speaker,congruent,Mouse,1
adult_ex3,7dae53ab38f25ac94cecc0aae160100b,8,novelty,different_speaker,incongruent,Sheep,1
